id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kelompok_umur,jenis_kelamin,jumlah_kasus,satuan,tahun
134,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0-4,PEREMPUAN,1,ORANG,2019
135,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,5-14,LAKI-LAKI,1,ORANG,2019
136,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,5-14,PEREMPUAN,0,ORANG,2019
137,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,15-19,LAKI-LAKI,3,ORANG,2019
138,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,15-19,PEREMPUAN,5,ORANG,2019
139,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,20-24,LAKI-LAKI,26,ORANG,2019
140,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,20-24,PEREMPUAN,13,ORANG,2019
141,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,25-49,LAKI-LAKI,50,ORANG,2019
142,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,25-49,PEREMPUAN,48,ORANG,2019
143,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,≥50,LAKI-LAKI,1,ORANG,2019
144,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,≥50,PEREMPUAN,3,ORANG,2019
145,32,JAWA BARAT,3213,KABUPATEN SUBANG,0-4,LAKI-LAKI,84,ORANG,2019
146,32,JAWA BARAT,3213,KABUPATEN SUBANG,0-4,PEREMPUAN,65,ORANG,2019
147,32,JAWA BARAT,3213,KABUPATEN SUBANG,5-14,LAKI-LAKI,1,ORANG,2019
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,5-14,PEREMPUAN,0,ORANG,2019
149,32,JAWA BARAT,3213,KABUPATEN SUBANG,15-19,LAKI-LAKI,6,ORANG,2019
150,32,JAWA BARAT,3213,KABUPATEN SUBANG,15-19,PEREMPUAN,1,ORANG,2019
151,32,JAWA BARAT,3213,KABUPATEN SUBANG,20-24,LAKI-LAKI,26,ORANG,2019
152,32,JAWA BARAT,3213,KABUPATEN SUBANG,20-24,PEREMPUAN,13,ORANG,2019
153,32,JAWA BARAT,3213,KABUPATEN SUBANG,25-49,LAKI-LAKI,105,ORANG,2019
154,32,JAWA BARAT,3213,KABUPATEN SUBANG,25-49,PEREMPUAN,34,ORANG,2019
155,32,JAWA BARAT,3213,KABUPATEN SUBANG,≥50,LAKI-LAKI,1,ORANG,2019
156,32,JAWA BARAT,3213,KABUPATEN SUBANG,≥50,PEREMPUAN,3,ORANG,2019
157,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0-4,LAKI-LAKI,3,ORANG,2019
158,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0-4,PEREMPUAN,2,ORANG,2019
159,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,5-14,LAKI-LAKI,0,ORANG,2019
160,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,5-14,PEREMPUAN,0,ORANG,2019
161,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,15-19,LAKI-LAKI,2,ORANG,2019
162,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,15-19,PEREMPUAN,1,ORANG,2019
163,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,20-24,LAKI-LAKI,24,ORANG,2019
164,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,20-24,PEREMPUAN,9,ORANG,2019
165,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,25-49,LAKI-LAKI,105,ORANG,2019
166,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,25-49,PEREMPUAN,34,ORANG,2019
167,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,≥50,LAKI-LAKI,13,ORANG,2019
168,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,≥50,PEREMPUAN,4,ORANG,2019
169,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0-4,LAKI-LAKI,1,ORANG,2019
170,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0-4,PEREMPUAN,0,ORANG,2019
171,32,JAWA BARAT,3215,KABUPATEN KARAWANG,5-14,LAKI-LAKI,0,ORANG,2019
172,32,JAWA BARAT,3215,KABUPATEN KARAWANG,5-14,PEREMPUAN,0,ORANG,2019
173,32,JAWA BARAT,3215,KABUPATEN KARAWANG,15-19,LAKI-LAKI,34,ORANG,2019
174,32,JAWA BARAT,3215,KABUPATEN KARAWANG,15-19,PEREMPUAN,4,ORANG,2019
175,32,JAWA BARAT,3215,KABUPATEN KARAWANG,20-24,LAKI-LAKI,78,ORANG,2019
176,32,JAWA BARAT,3215,KABUPATEN KARAWANG,20-24,PEREMPUAN,48,ORANG,2019
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,25-49,LAKI-LAKI,44,ORANG,2019
178,32,JAWA BARAT,3215,KABUPATEN KARAWANG,25-49,PEREMPUAN,39,ORANG,2019
179,32,JAWA BARAT,3215,KABUPATEN KARAWANG,≥50,LAKI-LAKI,5,ORANG,2019
180,32,JAWA BARAT,3215,KABUPATEN KARAWANG,≥50,PEREMPUAN,2,ORANG,2019
181,32,JAWA BARAT,3216,KABUPATEN BEKASI,0-4,LAKI-LAKI,0,ORANG,2019
182,32,JAWA BARAT,3216,KABUPATEN BEKASI,0-4,PEREMPUAN,2,ORANG,2019
183,32,JAWA BARAT,3216,KABUPATEN BEKASI,5-14,LAKI-LAKI,0,ORANG,2019
184,32,JAWA BARAT,3216,KABUPATEN BEKASI,5-14,PEREMPUAN,1,ORANG,2019
185,32,JAWA BARAT,3216,KABUPATEN BEKASI,15-19,LAKI-LAKI,6,ORANG,2019
186,32,JAWA BARAT,3216,KABUPATEN BEKASI,15-19,PEREMPUAN,2,ORANG,2019
187,32,JAWA BARAT,3216,KABUPATEN BEKASI,20-24,LAKI-LAKI,34,ORANG,2019
188,32,JAWA BARAT,3216,KABUPATEN BEKASI,20-24,PEREMPUAN,12,ORANG,2019
189,32,JAWA BARAT,3216,KABUPATEN BEKASI,25-49,LAKI-LAKI,102,ORANG,2019
190,32,JAWA BARAT,3216,KABUPATEN BEKASI,25-49,PEREMPUAN,57,ORANG,2019
191,32,JAWA BARAT,3216,KABUPATEN BEKASI,≥50,LAKI-LAKI,4,ORANG,2019
192,32,JAWA BARAT,3216,KABUPATEN BEKASI,≥50,PEREMPUAN,2,ORANG,2019
193,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0-4,LAKI-LAKI,0,ORANG,2019
